"id","user_id","date","original_bill_number","internal_bill_number","amount","vat_code","client_details","system_details","created_at","updated_at","deleted_at"
809,1,"2018-01-31","2018-01-31-8","2018-01-31-8","-11,72",9,"mytaxi-Kartenzahlungen (Rechnung)","5906 Fremdleistungen 19% Vorsteuer [EUR 9,49], 1406 [EUR 2,23] <-- 1800 Bank [EUR 11,72]","2019-10-31 15:40:43","2019-10-31 15:40:43",NULL
808,1,"2018-01-23","2018-01-23-3","2018-01-23-3","-7,74",9,"mytaxi-Kartenzahlungen (Rechnung)","5906 Fremdleistungen 19% Vorsteuer [EUR 6,27], 1406 [EUR 1,47] <-- 1800 Bank [EUR 7,74]","2019-10-31 15:40:21","2019-10-31 15:40:21",NULL
807,1,"2018-01-16","2018-01-16-5","2018-01-16-5","-9,07",9,"mytaxi-Kartenzahlungen (Rechnung)","5906 Fremdleistungen 19% Vorsteuer [EUR 7,35], 1406 [EUR 1,72] <-- 1800 Bank [EUR 9,07]","2019-10-31 15:39:58","2019-10-31 15:39:58",NULL
806,1,"2018-01-09","2018-01-09-1","2018-01-09-1","-15,99",9,"mytaxi-Kartenzahlungen (Rechnung)","5906 Fremdleistungen 19% Vorsteuer [EUR 12,95], 1406 [EUR 3,04] <-- 1800 Bank [EUR 15,99]","2019-10-31 15:39:35","2019-10-31 15:39:35",NULL
805,1,"2017-12-31","2017-12-31-1","2017-12-31-1","-9,98",9,"mytaxi-Kartenzahlungen (Rechnung)","5906 Fremdleistungen 19% Vorsteuer [EUR 8,08], 1406 [EUR 1,90] <-- 1800 Bank [EUR 9,98]","2019-10-31 15:39:05","2019-10-31 15:39:05",NULL
804,1,"2018-12-31","2018-12-31-7","2018-12-31-7","-9,34",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 9,34] <-- 1800 Bank [EUR 9,34]","2019-10-31 14:49:55","2019-10-31 14:49:55",NULL
803,1,"2018-11-30","2018-11-30-4","2018-11-30-4","-1,61",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 1,61] <-- 1800 Bank [EUR 1,61]","2019-10-31 14:49:36","2019-10-31 14:49:36",NULL
802,1,"2018-10-31","2018-10-31-5","2018-10-31-5","-4,86",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 4,86] <-- 1800 Bank [EUR 4,86]","2019-10-31 14:49:07","2019-10-31 14:49:07",NULL
801,1,"2018-09-30","2018-09-30-6","2018-09-30-6","-8,34",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 8,34] <-- 1800 Bank [EUR 8,34]","2019-10-31 14:48:43","2019-10-31 14:48:43",NULL
800,1,"2018-08-31","2018-08-31-6","2018-08-31-6","-5,39",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 5,39] <-- 1800 Bank [EUR 5,39]","2019-10-31 14:48:16","2019-10-31 14:48:16",NULL
799,1,"2018-07-31","2018-07-31-8","2018-07-31-8","-4,91",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 4,91] <-- 1800 Bank [EUR 4,91]","2019-10-31 14:47:57","2019-10-31 14:47:57",NULL
798,1,"2018-06-30","2018-06-30-4","2018-06-30-4","-3,80",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 3,80] <-- 1800 Bank [EUR 3,80]","2019-10-31 14:47:38","2019-10-31 14:47:38",NULL
797,1,"2018-05-31","2018-05-31-4","2018-05-31-4","-3,44",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 3,44] <-- 1800 Bank [EUR 3,44]","2019-10-31 14:47:15","2019-10-31 14:47:15",NULL
796,1,"2018-04-30","2018-04-30-10","2018-04-30-10","-7,97",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 7,97] <-- 1800 Bank [EUR 7,97]","2019-10-31 14:46:45","2019-10-31 14:46:45",NULL
795,1,"2018-03-31","2018-03-31-8","2018-03-31-8","-12,78",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 12,78] <-- 1800 Bank [EUR 12,78]","2019-10-31 14:46:21","2019-10-31 14:46:21",NULL
794,1,"2018-02-28","2018-02-28-8","2018-02-28-8","-12,88",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 12,88] <-- 1800 Bank [EUR 12,88]","2019-10-31 14:46:03","2019-10-31 14:46:03",NULL
